age,gender,marital_status,occupation,educational_qualifications,pin_code
20,Female,Single,Student,Post Graduate,560001
24,Female,Single,Student,Graduate,560009
22,Male,Single,Student,Post Graduate,560017
22,Female,Single,Student,Graduate,560019
22,Male,Single,Student,Post Graduate,560010
27,Female,Married,Employee,Post Graduate,560103
22,Male,Single,Student,Graduate,560009
24,Female,Single,Student,Post Graduate,560042
23,Female,Single,Student,Post Graduate,560001
23,Female,Single,Student,Post Graduate,560048
22,Female,Single,Student,Post Graduate,560010
23,Male,Single,Student,Post Graduate,560009
23,Male,Single,Student,Post Graduate,560078
21,Male,Single,Student,Graduate,560009
23,Female,Single,Self Employeed,Post Graduate,560004
24,Female,Single,Student,Post Graduate,560068
28,Female,Single,Employee,Post Graduate,560038
23,Female,Single,Student,Graduate,560008
25,Male,Single,Student,Graduate,560078
21,Female,Single,Student,Post Graduate,560038
24,Male,Single,Student,Post Graduate,560009
22,Male,Single,Student,Post Graduate,560032
22,Female,Single,Student,Graduate,560033
23,Male,Single,Student,Graduate,560021
21,Male,Single,Student,Post Graduate,560085
25,Male,Single,Student,Post Graduate,560008
22,Female,Single,Student,Post Graduate,560050
22,Male,Single,Student,Post Graduate,560098
23,Female,Single,Employee,Graduate,560048
22,Male,Single,Student,Post Graduate,560003
22,Female,Single,Employee,Graduate,560066
22,Male,Single,Student,Post Graduate,560038
25,Male,Married,Employee,Ph.D,560034
22,Female,Single,Student,Post Graduate,560010
22,Female,Single,Student,Post Graduate,560102
25,Male,Single,Student,Post Graduate,560085
25,Male,Single,Student,Post Graduate,560009
32,Female,Prefer not to say,House wife,Graduate,560008
23,Female,Single,Student,Post Graduate,560004
23,Female,Single,Student,Post Graduate,560078
30,Male,Married,Self Employeed,Uneducated,560025
23,Male,Single,Student,Graduate,560026
23,Male,Single,Student,Post Graduate,560021
22,Female,Single,Student,Post Graduate,560010
22,Male,Single,Student,Graduate,560010
27,Female,Married,Self Employeed,Post Graduate,560034
24,Female,Single,Student,Post Graduate,560009
23,Male,Single,Student,Post Graduate,560009
23,Female,Single,Student,Graduate,560008
22,Female,Single,Student,Post Graduate,560010
23,Female,Single,Student,Graduate,560043
23,Female,Single,Student,Post Graduate,560009
24,Male,Single,Student,Post Graduate,560009
25,Male,Single,Student,Post Graduate,560002
22,Male,Single,Student,Post Graduate,560085
28,Female,Married,Student,Graduate,560086
22,Female,Single,Student,Post Graduate,560076
24,Female,Single,Student,Graduate,560009
31,Male,Married,Employee,Ph.D,560102
25,Male,Single,Student,Post Graduate,560086
23,Male,Single,Student,Post Graduate,560078
22,Male,Single,Student,Post Graduate,560076
23,Male,Single,Student,Post Graduate,560096
23,Male,Single,Student,Graduate,560029
23,Female,Single,Student,Post Graduate,560003
25,Male,Single,Student,Post Graduate,560046
24,Male,Single,Employee,Graduate,560030
23,Female,Single,Student,Post Graduate,560024
23,Female,Single,Student,Post Graduate,560024
24,Female,Married,Employee,Ph.D,560004
22,Male,Single,Student,Graduate,560020
24,Female,Single,Student,Post Graduate,560028
25,Female,Single,Student,Post Graduate,560001
23,Male,Single,Student,Post Graduate,560076
26,Male,Single,Student,Post Graduate,560003
24,Female,Single,Student,Post Graduate,560064
26,Male,Single,Student,Post Graduate,560036
21,Male,Single,Student,Graduate,560009
22,Female,Single,Student,Post Graduate,560009
24,Male,Single,Student,Post Graduate,560011
24,Male,Single,Student,Post Graduate,560061
23,Female,Single,Student,Post Graduate,560009
23,Male,Single,Student,Post Graduate,560029
22,Male,Single,Student,Post Graduate,560004
23,Male,Single,Student,Post Graduate,560009
24,Female,Single,Student,Post Graduate,560038
24,Male,Single,Student,Post Graduate,560011
25,Male,Single,Student,Graduate,560009
25,Male,Single,Student,Post Graduate,560009
28,Male,Married,Self Employeed,Graduate,560022
27,Female,Prefer not to say,Employee,Post Graduate,560022
26,Male,Single,Self Employeed,Ph.D,560066
22,Male,Single,Student,Post Graduate,560009
24,Female,Single,Student,Post Graduate,560009
23,Male,Single,Student,Post Graduate,560027
25,Male,Single,Student,Graduate,560009
23,Female,Single,Student,Graduate,560043
23,Female,Single,Student,Graduate,560043
26,Male,Married,Employee,Graduate,560007
32,Female,Married,House wife,Uneducated,560012
24,Female,Single,Student,Post Graduate,560028
23,Male,Single,Student,Post Graduate,560030
22,Female,Single,Employee,Graduate,560066
24,Female,Single,Student,Ph.D,560004
26,Male,Single,Employee,Graduate,560034
28,Male,Married,Employee,Graduate,560066
26,Male,Single,Employee,Post Graduate,560066
25,Male,Single,Student,Post Graduate,560029
25,Male,Single,Employee,Graduate,560066
18,Male,Single,Student,Graduate,560002
21,Male,Single,Student,Post Graduate,560009
25,Male,Single,Student,Post Graduate,560029
25,Male,Single,Student,Post Graduate,560021
23,Female,Single,Student,Graduate,560043
23,Male,Single,Employee,Post Graduate,560010
